A,z1,z2,phi,lambda,spinodal,arrest
0.0,0.8,0.5,0.13,3.19302416141015,3.19302416141015,3.19302416141015
0.0,0.8,0.5,0.14,3.185215737758161,3.185215737758161,3.185215737758161
0.0,0.8,0.5,0.15,3.1616581654213505,3.1616581654213505,3.1616581654213505
0.0,0.8,0.5,0.16,3.1244621987693346,3.1244621987693346,3.1244621987693346
0.0,0.8,0.5,0.17,3.0754215489337438,3.0754215489337438,3.0754215489337438
0.0,0.8,0.5,0.18,3.0162788460696337,3.0162788460696337,3.0162788460696337
0.0,0.8,0.5,0.19,2.9495448023165625,2.9495448023165625,2.9495448023165625
0.0,0.8,0.5,0.2,2.8754683874927767,2.8754683874927767,2.8754683874927767
0.0,0.8,0.5,0.21,2.796728986549632,2.796728986549632,2.796728986549632
0.0,0.8,0.5,0.22,2.712641919473367,2.713304508852818,2.713304508852818
0.0,0.8,0.5,0.23,2.6257785892124046,2.6264198047409058,2.6264198047409058
0.0,0.8,0.5,0.24,2.5487107298231435,2.5487107298231435,2.5487107298231435
0.0,0.8,0.5,0.25,2.451325217758179,2.451325217758179,2.451325217758179
0.0,0.8,0.5,0.26,2.35905995907936,2.35905995907936,2.35905995907936
0.0,0.8,0.5,0.27,2.266074000321388,2.266074000321388,2.266074000321388
0.0,0.8,0.5,0.28,2.173638224228547,2.173638224228547,2.173638224228547
0.0,0.8,0.5,0.29,2.0738229340099426,2.078399278293221,2.078399278293221
0.0,0.8,0.5,0.3,1.9902740672133565,1.9902740672133565,1.9902740672133565
0.0,0.8,0.5,0.31,1.8926249398197947,1.8981823976394978,1.8981823976394978
0.0,0.8,0.5,0.32,1.8031336021543642,1.810204710398107,1.810204710398107
0.0,0.8,0.5,0.33,1.7244390104094867,1.7244390104094867,1.7244390104094867
0.0,0.8,0.5,0.34,1.6390236632461548,1.6390236632461548,1.6390236632461548
0.0,0.8,0.5,0.35,1.556129136105821,1.556129136105821,1.556129136105821
0.0,0.8,0.5,0.36,1.4754933564104349,1.4762159265018804,1.4762159265018804
0.0,0.8,0.5,0.37,1.3973392155754945,1.3980218429402114,1.3980218429402114
0.0,0.8,0.5,0.38,1.3292434780304185,1.3292434780304185,1.3292434780304185
0.0,0.8,0.5,0.39,1.2396296678462029,1.250000875,1.250000875
0.0,0.8,0.5,0.4,1.1850421051485385,1.1850421051485385,1.1850421051485385
0.0,0.8,0.5,0.41,1.1164251285294853,1.1164251285294853,1.1164251285294853
0.0,0.8,0.5,0.42,1.050779987979008,1.050779987979008,1.050779987979008
0.0,0.8,0.5,0.43,0.9875352542904489,0.9875352542904489,0.9875352542904489
0.0,0.8,0.5,0.44,0.9265431894502639,0.9265431894502639,0.9265431894502639
0.0,0.8,0.5,0.45,0.8686343026096224,0.8686343026096224,0.9648389777071203
0.0,0.9,0.5,0.01,0.5199813525716105,0.5199813525716105,0.5199813525716105
0.0,0.9,0.5,0.02,0.9603658417457939,0.9603658417457939,0.9603658417457939
0.0,0.9,0.5,0.03,1.3312199914342766,1.3312199914342766,1.3312199914342766
0.0,0.9,0.5,0.04,1.641512752963066,1.641512752963066,1.641512752963066
0.0,0.9,0.5,0.05,1.8972550984711347,1.8972550984711347,1.8972550984711347
0.0,0.9,0.5,0.06,2.1062264017288475,2.1062264017288475,2.1062264017288475
0.0,0.9,0.5,0.07,2.273487605076992,2.273487605076992,2.273487605076992
0.0,0.9,0.5,0.08,2.40535229080745,2.40535229080745,2.40535229080745
0.0,0.9,0.5,0.09,2.5045888543256782,2.5045888543256782,2.5045888543256782
0.0,0.9,0.5,0.1,2.5765538866469875,2.5765538866469875,2.5765538866469875
0.0,0.9,0.5,0.11,2.624496471248922,2.624496471248922,2.624496471248922
